campaign_id,name,channel,send_time,recipients,delivered,open_rate,click_rate,conversions,conversion_rate,conversion_value,aov,rpr,unsub_rate,spam_rate
01KESGP9Z1Y7N6362X5XSWDDSJ,Suivi précommandes,email,"January 12, 2026, 16:43",206,206,0.92718,0,2,0.00971,126.45,63.225,0.61383,0,0
01K9RBQ1T4PANM6ESC0A9XHCV6,Follow-up fall contest + warmup EN,email,"November 13, 2025, 07:15",6535,6528,0.17479,0.00751,2,0.00031,124.33,62.165,0.01905,0.00735,0.00061
01M0Q0P27S5TWC2183RS024DRW,Réchauffement prévente 2026 #1 FR,email,"August 23, 2026, 11:15",18953,18932,0.51252,0.01748,1,5e-05,114.96,114.96,0.00607,0.00549,0.00011
01KABV76115NP178V6MZGFWA5B,Retard mitaines urbaines,email,"November 18, 2025, 16:27",190,190,0.91053,0.01053,2,0.01053,97.7,48.85,0.51421,0.00526,0
01K4FBE9EXEK73MFCS6DP4XVK6,follow-up Réchauffement prévente 2025 #1 FR,email,"September 06, 2025, 11:30",13106,13067,0.28155,0.01936,1,8e-05,81.6,81.6,0.00624,0.01592,0.00061
01KQM78PHDKB6N003P21PC2H0W,Précommande été 2026 (EN),email,"May 02, 2026, 11:55",3665,3658,0.52488,0.03308,2,0.00055,78.52,39.26,0.02147,0.0123,0.00027
01KVDD0X8TDDNCDG63ZCVQDTZS,Suivi prévente 2026 commandes,email,"June 18, 2026, 18:29",341,340,0.87353,0.1,1,0.00294,72.43,72.43,0.21303,0.00294,0
01KCY4HWHQMK7W54VJ5EJHP9ES,Suivi précommandes,email,"December 20, 2025, 15:15",642,642,0.91277,0,6,0.00779,52.87,8.81167,0.08235,0,0
01KG76EFRCXGJMSJVCM43MR33X,end of season 2026 (erratum follow-up),email,"February 01, 2026, 13:00",5182,5138,0.12709,0.00409,1,0.00019,51.96,51.96,0.01011,0.01109,0.00097
01K4X56M11ZZDQ059KZCEQ9KFE,presale lasclay 2025 SMS USA,sms,"September 13, 2025, 09:00",2356,2254,0,0,0,0,0,0,0,0.09228,0
01K4TFMY99A0HANB9YS22N5JVB,prévente lasclay 2025 SMS,sms,"September 13, 2025, 12:59",11273,10026,0,0,0,0,0,0,0,0.03242,0
01K7A06TW1GGD89WRQ26FSQCEW,[Follow-up] 2025 (EN) Fall headbands etc.,email,"October 18, 2025, 09:00",49,49,0.42857,0.02041,0,0,0,0,0,0,0
01K84NYGT22FRFNSYE0WD7FQ1M,follow-up Fall contest 2025,email,"October 23, 2025, 10:00",1955,1953,0.19816,0.00973,0,0,0,0,0,0.01126,0
01KA1SGBP1CHPZNVM2FKHKEXSM,défricheuses,email,"November 14, 2025, 18:50",12,12,0.91667,0.66667,0,0,0,0,0,0,0
01KA6K7S2XAR4HCY0WDBHPBTAN,Fall contest 2025,email,"November 16, 2025, 15:18",1907,1905,0.17638,0.0084,0,0,0,0,0,0.01102,0
01KABWRGVVSBKMV3K00EZN7Q3P,EN Retard mitaines urbaines,email,"November 18, 2025, 16:49",12,12,1,0.08333,0,0,0,0,0,0,0
01KAC1E4SAS262X55W9G1FDV2B,Manteaux suivi EN,email,"November 18, 2025, 17:56",10,10,0.9,0.1,0,0,0,0,0,0,0
01KZ1Y1K83E18JCEYK6SQBV3MT,2026-07-31 Infolettre FR - suivi precommande,email,"August 02, 2026, 19:17",394,393,0.8855,0.01272,0,0,0,0,0,0,0
01K8BY8BHP3KE3QQN03SPSHWEH,Suivi manteaux oct,email,"October 25, 2025, 12:00",270,270,0.88889,0,0,0,0,0,0,0,0
01KC9XCGN4J2NQXTKAEB3GMS1C,EN Clone Suivi commandes + excuses,email,"December 12, 2025, 19:15",75,74,0.86486,0,0,0,0,0,0,0,0
01KCKWCJTFRWDRZ4GPAGR1KHNN,Manteaux suivi,email,"December 16, 2025, 17:25",325,325,0.90462,0,0,0,0,0,0,0,0
01KCM37M3FH4JCASEMTS0DT3J0,EN Manteaux suivi,email,"December 17, 2025, 01:58",14,14,0.85714,0,0,0,0,0,0,0,0
01KECBCPWCTQA13C6VVJNT7DYN,Manteaux suivi final,email,"January 07, 2026, 14:13",170,169,0.92308,0,0,0,0,0,0,0,0
01KG08ZDR4T9AKMDQJMB6AE9D8,yellow beanies,email,"January 27, 2026, 17:47",5,5,1,0,0,0,0,0,0,0,0
01KYWMZR9NT2M93YW299JWWNV3,2026-07-31 Terrains asclepiade - suivi + subvention,email,"July 31, 2026, 20:33",57,57,0.73684,0,0,0,0,0,0,0,0
01KSVYMZQWB682ZVFW8GT6QHX6,prévente printemps 2026 SMS,sms,"May 30, 2026, 13:00",21336,14928,0,0,0,0,0,0,0,0.05024,0
