id	titre	handle	statut	type	tags	stock_total	url_boutique	variantes	images	collections	cree_le	maj_le
8019116589275	Bombes semencières -  Fleurs indigènes	flower-seed-bombs	UNLISTED		garden;no-returns;Product-Collection-All	130	https://lasclay.com/products/flower-seed-bombs	30	12	All Products;Pour le jardin;Semences d’asclépiade stratifiées à froid  - prêtes à semer	2023-04-27	2026-08-19
8015996354779	Bombes semencières - Asclépiade	milkweed-seed-bombs	ACTIVE		garden;no-returns;Product-Collection-All	550	https://lasclay.com/products/milkweed-seed-bombs	33	16	Produits;All Products;Pour le jardin;Semences d’asclépiade stratifiées à froid  - prêtes à semer;Matières	2023-04-24	2026-08-24
8676961812699	Boucles d'oreilles Asclepias (précommande)	boucles-oreilles-asclepias	ACTIVE			-2	https://lasclay.com/products/boucles-oreilles-asclepias	4	9	Produits;Été + Tous les jours;Sacs isothermes, glacières & produits estivaux;Collaborations;Produits (no garden)	2024-08-31	2026-08-06
7826253447387	Cache-cou d'asclépiade	neckwarmer	ACTIVE		Product-Collection-All;Winter	241	https://lasclay.com/products/neckwarmer	5	12	Produits;Vente fin de saison: Hiver;All Products;Pour l'hiver;BFCM;Boxing week 2023;Pour le cou;Produits d'asclépiade du printemps;Produits (no garden)	2022-09-11	2026-08-19
9030231195867	Cache-cou d'asclépiade  - ancienne version non-ajustable	cache-cou-dasclepiade-imparfait	ACTIVE		Product-Collection-All;Winter	131	https://lasclay.com/products/cache-cou-dasclepiade-imparfait	1	5	Produits;All Products;Pour l'hiver;BFCM;Boxing week 2023;Les Imparfaits;Produits (no garden)	2025-11-07	2026-08-19
9137058185435	Cache-cou d'asclépiade IMPARFAIT	cache-cou-dasclepiade-imparfait-1	ACTIVE		Product-Collection-All;Winter	25	https://lasclay.com/products/cache-cou-dasclepiade-imparfait-1	4	11	All Products;Pour l'hiver;BFCM;Boxing week 2023;Les Imparfaits;Produits (no garden)	2026-02-05	2026-07-18
8084903919835	Carte cadeau virtuelle	giftcard	ACTIVE		no-returns	0	https://lasclay.com/products/giftcard	7	1	Autres	2023-09-07	2026-07-29
7657957818587	Carte-cadeau	carte-cadeau	ARCHIVED			0		1	1		2022-05-06	2026-06-27
9357150388443	Chandail polaire isolé à l'asclépiade - type "pull"	chandail-polaire-asclepiade-polar	ACTIVE		Winter	-113	https://lasclay.com/products/chandail-polaire-asclepiade-polar	5	5	Produits;Pour l'hiver;BFCM;Boxing week 2023;Manteaux et vestes d'asclépiade;Produits (no garden)	2026-05-23	2026-08-21
8636689219803	Combo automnal: Bandeau + cache-cou	automne-bandeau-cache-cou-asclepiade	DRAFT			-13		2	3	Combos promotionnels	2024-07-18	2026-08-03
9009152393435	Combo bandeau & cache-cou - Précommande novembre 2025	bandeau-torsade-et-cache-cou	DRAFT			945		25	5	Bandeaux	2025-10-10	2026-08-25
8636700360923	Combo BBQ: Manchons à boisson + mitaines de four	combo-barbecue-manchons-boisson-mitaines-four	DRAFT			0		3	2	Combos promotionnels	2024-07-18	2026-08-02
8636694593755	Combo Boissons froides: Besace + manchons	boissons-besace-manchons-asclepiade	DRAFT			69		18	6	Combos promotionnels	2024-07-18	2026-08-09
8593596350683	Combo manchons + coussin isotherme	combo-manchons-coussin-isotherme	DRAFT		Summer	-71		3	2	Pour l'été;BFCM;Combos promotionnels	2024-06-21	2026-08-12
8636691579099	Combo Sac lunch + Ensemble de cuisine	combo-sac-lunch-ensemble-cuisine-asclepiade	DRAFT			-5		6	4	Combos promotionnels	2024-07-18	2026-08-23
8636692398299	Combo Sacs à dos et lunch	combo-sac-dos-lunch-glaciere-asclepiade	DRAFT			34		6	7	Combos promotionnels	2024-07-18	2026-08-23
8582063587547	Combo soin du visage: nettoyant & hydratant	combo-soin-visage-huile-asclepiade	ACTIVE			-30	https://lasclay.com/products/combo-soin-visage-huile-asclepiade	1	2	Été + Tous les jours;Soins du visage - Huile d'asclépiade;Combos promotionnels	2024-06-15	2026-08-05
8593529798875	Coussin d'assise thermal pliable	coussin-assise-thermal-pliable	ACTIVE		Summer	-57	https://lasclay.com/products/coussin-assise-thermal-pliable	1	6	Produits;Pour l'été;BFCM;Été + Tous les jours;Sacs isothermes, glacières & produits estivaux;Produits (no garden)	2024-06-21	2026-08-19
8785370382555	Coussin d'assise thermal pliable - IMPARFAIT	coussin-dassise-thermal-pliable-imparfait	ACTIVE		Summer	0	https://lasclay.com/products/coussin-dassise-thermal-pliable-imparfait	1	5	Produits;Pour l'été;BFCM;Les Imparfaits;Produits (no garden)	2025-01-19	2026-08-19
8981714075867	Coussin écoresponsable pour animaux	coussin-ecoresponsable-animaux	ACTIVE			16	https://lasclay.com/products/coussin-ecoresponsable-animaux	9	10	Produits;Pour tous les jours;Été + Tous les jours;Produits (no garden)	2025-09-05	2026-08-19
